,country,sex,height,weight,age,years_cl,grades_max,grades_mean,year_last,max_fra
1955,ESP,0,172,58,22.0,5,62,51.60493827160494,2010,8a+/8b
1956,ESP,0,185,78,33.0,8,53,43.929577464788736,2011,7b+
1957,GBR,0,181,73,36.0,25,71,62.005208333333336,2017,9a
1958,other,0,164,53,23.0,8,64,54.44444444444444,2013,8b/+
1959,ESP,0,172,63,41.0,11,53,40.88333333333333,2017,7b+
1960,AUS,0,180,83,19.0,12,62,60.75,2008,8a+/8b
1961,ITA,0,170,63,20.0,5,51,44.62068965517241,2009,7b
1962,FRA,0,174,58,27.0,12,64,55.87323943661972,2012,8b/+
1963,BEL,0,183,83,20.0,9,66,54.68292682926829,2010,8b+/8c
1964,CHE,0,175,63,21.0,10,46,42.0,2007,6c+/7a
1965,USA,0,168,73,17.0,4,64,52.34782608695652,2008,8b/+
1966,SWE,0,187,78,39.0,9,53,38.174193548387095,2014,7b+
1967,DEU,0,183,68,29.0,7,62,57.63157894736842,2007,8a+/8b
1968,SWE,0,186,73,44.0,23,59,47.96825396825397,2012,8a
1969,USA,0,177,68,25.0,6,55,38.59428571428571,2012,7c
1970,NOR,0,180,63,33.0,14,63,47.054545454545455,2017,8b
1971,FRA,0,167,58,24.0,11,57,48.083333333333336,2015,7c+
1972,FRA,0,178,58,18.0,5,64,56.25,2006,8b/+
1973,SVN,0,186,83,30.0,11,66,48.72209026128266,2017,8b+/8c
1974,BRA,0,170,63,29.0,14,68,49.52,2017,8c/+
1975,other,0,187,63,22.0,6,42,37.2,2009,6b+/6c
1976,USA,0,188,73,25.0,5,53,45.25,2009,7b+
1977,NOR,0,188,63,24.0,5,57,47.25,2010,7c+
1978,NOR,0,186,73,25.0,7,53,49.6,2007,7b+
1979,BRA,0,180,68,27.0,17,70,53.950980392156865,2013,8c+/9a
1980,GBR,0,165,63,34.0,11,57,47.407407407407405,2008,7c+
1981,GBR,0,182,78,24.0,10,63,55.03883495145631,2013,8b
1982,POL,0,186,78,28.0,8,55,44.95652173913044,2014,7c
1983,POL,0,169,68,27.0,12,64,44.54192229038855,2017,8b/+
1984,CAN,0,178,68,24.0,3,58,48.82608695652174,2008,7c+/8a
1985,other,0,180,68,29.0,8,62,51.94871794871795,2012,8a+/8b
1986,NOR,0,183,73,34.0,14,57,49.392857142857146,2010,7c+
1987,USA,0,180,68,32.0,13,59,47.83495145631068,2015,8a
1988,USA,0,172,68,41.0,12,49,40.57142857142857,2017,7a+
1989,USA,0,165,68,34.0,14,55,51.6,2017,7c
1990,ESP,0,188,93,29.0,12,42,39.4,2009,6b+/6c
1991,USA,0,172,58,27.0,9,62,51.10344827586207,2014,8a+/8b
1992,PRT,0,172,63,28.0,3,53,41.65765765765766,2008,7b+
1993,NOR,0,179,73,33.0,9,64,50.87719298245614,2013,8b/+
1994,USA,0,193,88,28.0,7,59,44.265957446808514,2000,8a
1995,ESP,0,163,53,24.0,12,62,49.02564102564103,2006,8a+/8b
1996,NOR,0,182,73,28.0,11,45,38.86666666666667,2017,6c+
1997,SWE,0,178,58,23.0,3,55,42.52173913043478,2009,7c
1998,PRT,0,173,73,33.0,15,55,43.633663366336634,2011,7c
1999,PRT,0,177,78,25.0,6,42,35.371428571428574,2006,6b+/6c
2000,AUS,0,187,88,33.0,17,66,57.96825396825397,2017,8b+/8c
2001,POL,0,172,68,48.0,24,59,42.40833333333333,2017,8a
2002,HRV,0,180,68,36.0,12,53,37.34862385321101,2011,7b+
2003,NOR,0,181,78,32.0,7,44,34.28395061728395,2013,6c/+
2004,ESP,0,163,63,34.0,19,55,43.925925925925924,2009,7c
2005,BRA,0,178,68,32.0,3,42,38.23076923076923,2008,6b+/6c
2006,HRV,0,178,78,26.0,3,49,40.60606060606061,2008,7a+
2007,BRA,0,165,68,33.0,6,53,45.2,2007,7b+
2008,FRA,0,175,63,21.0,7,68,60.46341463414634,2007,8c/+
2009,ESP,0,174,73,30.0,8,55,50.166666666666664,2010,7c
2010,ESP,0,182,83,31.0,7,51,39.819148936170215,2011,7b
2011,ESP,0,171,68,30.0,13,64,52.6687306501548,2017,8b/+
2012,ITA,0,176,63,32.0,5,46,37.57142857142857,2011,6c+/7a
2013,SVN,0,176,68,22.0,13,66,57.05128205128205,2009,8b+/8c
2014,CAN,0,181,58,19.0,5,44,35.25,2011,6c/+
2015,ESP,0,181,83,41.0,13,62,47.868894601542415,2017,8a+/8b
2016,other,0,173,68,30.0,12,62,49.02298850574713,2015,8a+/8b
2017,DEU,0,183,63,21.0,12,70,58.98765432098765,2011,8c+/9a
2018,AUS,0,187,73,27.0,11,55,50.0,2014,7c
2019,ESP,0,169,68,35.0,12,57,42.73046875,2017,7c+
2020,DEU,0,190,88,29.0,11,53,38.81290322580645,2017,7b+
2021,CHE,0,184,83,31.0,11,53,40.672,2013,7b+
2022,ESP,0,175,73,41.0,5,59,49.22222222222222,2009,8a
2023,USA,0,190,68,17.0,6,72,63.38297872340426,2006,9a/+
2024,USA,0,167,63,22.0,12,64,59.53846153846154,2014,8b/+
2025,POL,0,185,73,32.0,15,70,57.85581395348837,2017,8c+/9a
2026,NLD,0,184,68,25.0,7,55,49.753846153846155,2010,7c
2027,FRA,0,170,63,22.0,9,64,56.55555555555556,2009,8b/+
2028,ESP,0,182,68,19.0,4,59,46.148514851485146,2009,8a
2029,other,0,186,83,29.0,13,53,37.68181818181818,2010,7b+
2030,CAN,0,183,68,35.0,14,57,52.19117647058823,2014,7c+
2031,BRA,0,185,78,28.0,10,59,53.5,2010,8a
2032,other,0,189,78,23.0,7,62,45.74418604651163,2008,8a+/8b
2033,other,0,177,73,27.0,12,64,54.5,2011,8b/+
2034,FRA,0,173,68,31.0,17,66,53.898148148148145,2017,8b+/8c
2035,other,0,180,63,27.0,16,70,55.83720930232558,2017,8c+/9a
2036,AUT,0,172,68,23.0,11,69,60.294117647058826,2014,8c+
2037,BRA,0,185,78,24.0,16,59,52.214285714285715,2012,8a
2038,FRA,0,180,73,31.0,4,51,40.214285714285715,2010,7b
2039,SVN,0,171,63,38.0,23,68,58.798882681564244,2016,8c/+
2040,GBR,0,177,68,23.0,8,64,54.08,2012,8b/+
