,user_id,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last
24222,51610,2012-12-28 23:00:00,2017-08-18 22:00:00,197,56,49,64,52.84771573604061,2012,2017
24223,51612,2014-04-03 22:00:00,2008-06-11 22:00:00,31,57,62,66,60.0,2014,2008
24224,51614,2013-10-06 22:00:00,2013-10-06 22:00:00,1,46,46,46,46.0,2013,2013
24225,51615,2013-10-01 22:00:00,2013-09-13 22:00:00,16,36,31,38,33.9375,2013,2013
24226,51617,2013-10-04 22:00:00,2013-10-03 22:00:00,5,43,51,51,45.2,2013,2013
24227,51618,2013-04-09 22:00:00,2017-09-09 22:00:00,85,51,53,59,52.576470588235296,2013,2017
24228,51619,2013-09-30 22:00:00,2017-07-17 22:00:00,154,48,49,53,46.46103896103896,2013,2017
24229,51624,2015-04-17 22:00:00,2017-06-24 22:00:00,122,49,46,52,45.32786885245902,2015,2017
24230,51630,2011-09-23 22:00:00,2017-08-15 22:00:00,86,40,38,44,39.63953488372093,2011,2017
24231,51632,2013-10-07 22:00:00,2014-10-13 22:00:00,159,36,38,55,37.55974842767296,2013,2014
24232,51636,2013-10-08 22:00:00,2014-09-13 22:00:00,23,44,38,46,38.69565217391305,2013,2014
24233,51639,2013-09-13 22:00:00,2013-09-08 22:00:00,36,33,38,40,32.333333333333336,2013,2013
24234,51641,2013-10-07 22:00:00,2013-10-08 22:00:00,4,44,38,44,41.5,2013,2013
24235,51646,2013-10-05 22:00:00,2013-08-13 22:00:00,6,38,33,55,41.333333333333336,2013,2013
24236,51657,2014-03-06 23:00:00,2014-03-06 23:00:00,1,33,33,33,33.0,2014,2014
24237,51664,2013-09-10 22:00:00,2013-09-10 22:00:00,1,49,49,49,49.0,2013,2013
24238,51667,2013-10-11 22:00:00,2013-10-26 22:00:00,19,33,36,40,33.94736842105263,2013,2013
24239,51669,2013-10-09 22:00:00,2012-08-29 22:00:00,2,42,46,46,44.0,2013,2012
24240,51671,2013-04-26 22:00:00,2016-10-08 22:00:00,124,62,49,66,56.233870967741936,2013,2016
24241,51672,2013-10-11 22:00:00,2013-08-24 22:00:00,68,40,33,51,38.029411764705884,2013,2013
24242,51673,2013-10-10 22:00:00,2017-07-28 22:00:00,167,48,53,62,48.02994011976048,2013,2017
24243,51675,2014-01-08 23:00:00,2014-01-08 23:00:00,7,46,40,46,39.57142857142857,2014,2014
24244,51678,2014-06-07 22:00:00,2017-08-19 22:00:00,75,46,46,55,47.57333333333333,2014,2017
24245,51679,2011-10-28 22:00:00,2017-08-19 22:00:00,99,62,64,68,57.484848484848484,2011,2017
24246,51680,2013-10-11 22:00:00,2015-01-23 23:00:00,40,49,49,55,44.9,2013,2015
